"RefDes","Value","Name","Quantity","Manufacturer","MFG P/N","Source"
"C1, C9, C11, C13, C104","100nF","NP_100nF_50V_0402","5","Samsung Electro-Mechanics","CL05B104KB54PNC","https://lcsc.com/product-detail/Others_Samsung-Electro-Mechanics_CL05B104KB54PNC_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.html"
"C8","DNP","NP_DNP_1206","1","DNP","DN",""
"C14","10uF 50V","NP_10uF_50V_1206","1","Samsung Electro-Mechanics","UMK316BBJ106ML-T","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL31A106KBHNNNE_10uF-106-10-50V_C13585.html/?href=jlc-SMT"
"C100, C101","2.2uF 50V","NP_2.2uF_50V_0805","2","Guangdong Fenghua Advanced Tech","0805F225M500NT","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805F225M500NT_C49217.html"
"C102","6.8nF 50V","NP_6.8nF_50V_0402","1","Guangdong Fenghua Advanced Tech","0805B682K500NT","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_6-8nF-682-10-50V_C1755.html/?href=jlc-SMT"
"C103","39pF 50V","NP_39pF_50V_0402","1","Yageo","CC0402JRNPO9BN390","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_39pF-390-5-50V_C106223.html/?href=jlc-SMT"
"C105, C106","47uF 6.3V","NP_47uF_6.3V_0805","2","Samsung Electro-Mechanics","CL21A476MQYNNNE","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21B225KOFNNNE_2-2uF-225-10-16V_C28234.html"
"D1","40V 3A","Schottkey_40V_3A_DO-214AC","1","Diodes Incorporated","B340A-13-F","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_DIODES_B340A-13-F_B340A-13-F_C85098.html"
"D100","B560C","B560C","1","Diodes Incorporated","B560C-13-F","https://jlcpcb.com/parts/componentSearch?searchTxt=LM2596"
"J1, J2, J3","4P","HDR Pin 1x4 0.1 ","3","BOOMELE(Boom Precision Elec)","",""
"J4, J5, J6, J7","19S","HDR Socket 1x19 0.1 ","4"," Popular Products About LCSC","C319202","https://lcsc.com/product-detail/Lack-of-specifications_BOOMELE-Boom-Precision-Elec-C319202_C319202.html"
"J11","JTAG","DC3-10P","1","","",""
"J23","3P","HDR Pin 1x3 0.1 ","1","BOOMELE(Boom Precision Elec)","C49257","https://lcsc.com/product-detail/Pin-Header-Female-Header_BOOMELE-Boom-Precision-Elec-C49257_C49257.html"
"L100","10uH","10uH_SMD_5.2x5.4","1","Sunlord","MWSA0503S-100MT","https://lcsc.com/product-detail/Power-Inductors_Sunlord-MWSA0503S-100MT_C408412.html"
"LED1","GRN","LED_GRN_0805 (Hubei KENTO)","1","Hubei KENTO","-","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Green-0805-Iv-207-249-mcd-atIF-20mA_C2297.html"
"MH1, MH2, MH3, MH4","","Mounting_hole_M3.7","4","","",""
"MOD1, MOD2, MOD3, MOD4, MOD5","1x12 Socket","CNC_Module_Socket","5","CJT(Changjiang Connectors)","A2541HWV-12P","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541HWV-12P_C225509.html"
"R5, R6, R7, R8, R10","10k","10k_0402","5","YAGEO","RC0402FR-0710KL","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0710KL_C60490.html"
"R9","2k","2k_0402","1","Uniroyal Elec","0402WGF2001TCE","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-0402WGF2001TCE_C4109.html/?href=jlc-SMT"
"R100","100k","100k_0402","1","Uniroyal Elec","0402WGF1003TCE","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-0402WGF1003TCE_C25741.html/?href=jlc-SMT"
"R101","13k","13k_0402","1","Uniroyal Elec","0402WGF1133TCE","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-0402WGF1133TCE_C25746.html/?href=jlc-SMT"
"R102","270k","270k_0402","1","Uniroyal Elec","0402WGF2703TCE","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-0402WGF2703TCE_C25770.html/?href=jlc-SMT"
"R103","51k","51k_0402","1","Uniroyal Elec","0402WGF5102TCE","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-0402WGF5102TCE_C25794.html/?href=jlc-SMT"
"SD1","Micro SD","TF-01A","1","Korean Hroparts Elec","TF-01A","https://lcsc.com/product-detail/Card-Sockets-Connectors_Korean-Hroparts-Elec-TF-01A_C91145.html"
"TB1, TB2, TB3, TB5, TB6, TB7","4 Pos","TB_3p5mm_4POS_KF2EDGR","6","Cixi Kefa Elec","1945151","https://www.mouser.com/ProductDetail/Phoenix-Contact/1945151?qs=BYlwlsDsB%2FoyXM%2FBwWKgUA%3D%3D"
"TB4","2 Pos","TB_5mm_2POS Socket","1","Ningbo Xinlaiya Elec.","XY2500R-B-5.00-2P","https://lcsc.com/product-detail/Pluggable-System-Terminal-Block_Ningbo-Xinlaiya-Elec-XY2500R-B-5-00-2P_C505815.html"
"U1, U2, U3, U4","74AHCT595","SN74AHCT595DR","4","Texas Instruments","SN74AHCT595DR","Texas Instruments"
"U6","6S","Header_2x6S_RA","1","CJT(Changjiang Connectors)","A2541HWR-2x6P","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541HWR-2x6P_C239357.html"
"U100","TPS54360","TPS54360DDAR","1","Texas Instruments","TPS54360DDAR","https://lcsc.com/product-detail/DC-DC-Converters_Texas-Instruments-Texas-Instruments-TPS54360DDAR_C44377.html"
